response_id,exercise,cycle_phase,coaching_label,min_reps,max_reps,min_form_score,max_form_score,fatigue_level,performance_trend,symmetry_condition,response_type,response_text
R0001,bicep curl,menstrual,reduce_intensity,0,8,0,84,high,declining,any,main_plus_cycle,"This session suggests the exercise may have been too demanding today. Keep the {exercise} lighter and prioritise avoid swinging. As you selected the menstrual phase, the lower rep count may reflect reduced energy or discomfort today. Keep the load lighter, rest longer between sets, hydrate well, and consider iron-rich foods such as leafy greens, beans, lentils, red meat, or fortified cereal."
R0002,bicep curl,menstrual,reduce_intensity,0,8,0,84,high,declining,any,main_plus_cycle,"This session suggests the exercise may have been too demanding today. Keep the {exercise} lighter and prioritise balanced arm movement. Because this session is in the menstrual phase, prioritise comfort over intensity. If {reps} reps felt harder than usual, use controlled movement, avoid pushing to failure, and support recovery with fluids and iron-rich meals."
R0003,bicep curl,menstrual,focus_control,0,50,55,89,low,improving,any,main_plus_cycle,"Focus on technique over speed next time. Keep each rep smooth and avoid rushing the movement. During menstruation, energy can fluctuate. Since you completed {reps} reps, treat this as a maintenance session: reduce pressure, keep technique clean, rest properly, and focus on iron, protein, and hydration after training."
R0004,bicep curl,menstrual,focus_control,0,50,55,89,medium,declining,any,main_plus_cycle,"Focus on technique over speed next time. Keep each rep smooth and avoid rushing the movement. Because this session is in the menstrual phase, prioritise comfort over intensity. If {reps} reps felt harder than usual, use controlled movement, avoid pushing to failure, and support recovery with fluids and iron-rich meals."
R0005,bicep curl,menstrual,maintain_quality,7,50,80,100,high,stable,any,main_plus_cycle,"Your form score was strong, so maintain this quality and keep the same controlled rhythm next session. During menstruation, energy can fluctuate. Since you completed {reps} reps, treat this as a maintenance session: reduce pressure, keep technique clean, rest properly, and focus on iron, protein, and hydration after training."
R0006,bicep curl,menstrual,maintain_quality,7,50,80,100,medium,stable,any,main_plus_cycle,"Good session. The priority now is keeping the same standard across more reps without losing control. During menstruation, energy can fluctuate. Since you completed {reps} reps, treat this as a maintenance session: reduce pressure, keep technique clean, rest properly, and focus on iron, protein, and hydration after training."
R0007,bicep curl,menstrual,increase_challenge,7,50,80,100,low,declining,any,main_plus_cycle,"This was a strong performance. Consider slightly increasing reps or resistance if recovery feels good. Your menstrual-phase feedback should be recovery-led today. If cramps, fatigue, or heaviness affected your {exercise}, lower the intensity and choose steady reps rather than forcing progression."
R0008,bicep curl,menstrual,increase_challenge,7,50,80,100,medium,stable,any,main_plus_cycle,"Your session suggests you may be ready to progress. Add difficulty gradually while keeping avoid swinging stable. During menstruation, energy can fluctuate. Since you completed {reps} reps, treat this as a maintenance session: reduce pressure, keep technique clean, rest properly, and focus on iron, protein, and hydration after training."
R0009,bicep curl,menstrual,prioritise_recovery,0,8,0,84,high,declining,any,main_plus_cycle,"Because fatigue appears elevated, keep the next session lighter and focus on feeling recovered. During menstruation, energy can fluctuate. Since you completed {reps} reps, treat this as a maintenance session: reduce pressure, keep technique clean, rest properly, and focus on iron, protein, and hydration after training."
R0010,bicep curl,menstrual,prioritise_recovery,0,8,0,84,high,declining,any,main_plus_cycle,"Today looks more like a maintenance session. Rest, hydrate, and avoid pushing extra volume. During menstruation, energy can fluctuate. Since you completed {reps} reps, treat this as a maintenance session: reduce pressure, keep technique clean, rest properly, and focus on iron, protein, and hydration after training."
R0011,bicep curl,menstrual,improve_symmetry,0,50,0,100,any,any,high_diff,main_plus_cycle,"For your next {exercise}, prioritise balanced movement rather than increasing reps. During menstruation, energy can fluctuate. Since you completed {reps} reps, treat this as a maintenance session: reduce pressure, keep technique clean, rest properly, and focus on iron, protein, and hydration after training."
R0012,bicep curl,menstrual,improve_symmetry,0,50,0,100,any,stable,high_diff,main_plus_cycle,"Your symmetry difference suggests one side may be working harder than the other. Slow down and match both sides evenly. During menstruation, energy can fluctuate. Since you completed {reps} reps, treat this as a maintenance session: reduce pressure, keep technique clean, rest properly, and focus on iron, protein, and hydration after training."
R0013,bicep curl,menstrual,improve_range_of_motion,0,50,55,89,low,improving,any,main_plus_cycle,"Your joint angle range suggests the movement may be slightly restricted. Focus on a comfortable full range of motion. Your menstrual-phase feedback should be recovery-led today. If cramps, fatigue, or heaviness affected your {exercise}, lower the intensity and choose steady reps rather than forcing progression."
R0014,bicep curl,menstrual,improve_range_of_motion,0,50,55,89,any,declining,any,main_plus_cycle,"Your joint angle range suggests the movement may be slightly restricted. Focus on a comfortable full range of motion. Because this session is in the menstrual phase, prioritise comfort over intensity. If {reps} reps felt harder than usual, use controlled movement, avoid pushing to failure, and support recovery with fluids and iron-rich meals."
R0015,bicep curl,menstrual,progress_gradually,7,50,80,100,any,stable,any,main_plus_cycle,"This is a good base to progress from, as long as your form and recovery stay consistent. Your menstrual-phase feedback should be recovery-led today. If cramps, fatigue, or heaviness affected your {exercise}, lower the intensity and choose steady reps rather than forcing progression."
R0016,bicep curl,menstrual,progress_gradually,7,50,80,100,medium,declining,any,main_plus_cycle,"Build gradually from this session. Add reps or resistance slowly rather than jumping too quickly. During menstruation, energy can fluctuate. Since you completed {reps} reps, treat this as a maintenance session: reduce pressure, keep technique clean, rest properly, and focus on iron, protein, and hydration after training."
R0017,bicep curl,follicular,reduce_intensity,0,8,0,84,high,declining,any,main_plus_cycle,"You only completed {reps} reps and your form score was {form_score}, so reduce intensity and focus on controlled, safe movement. In the follicular phase, some users feel energy gradually returning. With {reps} reps completed, this may be a good time to rebuild consistency, but only increase difficulty if your form remains controlled."
R0018,bicep curl,follicular,reduce_intensity,0,8,0,84,high,declining,any,main_plus_cycle,"Your performance data points towards lowering the challenge for now. Aim for cleaner reps before increasing weight or volume. Because this is the follicular phase, you may be able to progress gradually. If the movement felt comfortable, add a small challenge next time while keeping avoid swinging as the priority."
R0019,bicep curl,follicular,focus_control,0,50,55,89,high,stable,any,main_plus_cycle,"Focus on technique over speed next time. Keep each rep smooth and avoid rushing the movement. This phase may support training progression, but your form data should still lead the decision. Keep elbow control clean before adding more reps or weight."
R0020,bicep curl,follicular,focus_control,0,50,55,89,low,declining,any,main_plus_cycle,"Your form was not poor, but it needs more consistency. Slow the movement down and reset between reps. In the follicular phase, some users feel energy gradually returning. With {reps} reps completed, this may be a good time to rebuild consistency, but only increase difficulty if your form remains controlled."
R0021,bicep curl,follicular,maintain_quality,7,50,80,100,high,improving,any,main_plus_cycle,Good session. The priority now is keeping the same standard across more reps without losing control. Your follicular-phase session can focus on building momentum. Use today’s {reps} reps as a baseline and slowly increase volume or resistance if recovery feels good.
R0022,bicep curl,follicular,maintain_quality,7,50,80,100,medium,any,any,main_plus_cycle,"Your technique looked consistent. Keep using this as your baseline before adding more challenge. In the follicular phase, some users feel energy gradually returning. With {reps} reps completed, this may be a good time to rebuild consistency, but only increase difficulty if your form remains controlled."
R0023,bicep curl,follicular,increase_challenge,7,50,80,100,medium,any,any,main_plus_cycle,"Your session suggests you may be ready to progress. Add difficulty gradually while keeping controlled lowering stable. Because this is the follicular phase, you may be able to progress gradually. If the movement felt comfortable, add a small challenge next time while keeping controlled lowering as the priority."
R0024,bicep curl,follicular,increase_challenge,7,50,80,100,any,stable,any,main_plus_cycle,"Your session suggests you may be ready to progress. Add difficulty gradually while keeping controlled lowering stable. In the follicular phase, some users feel energy gradually returning. With {reps} reps completed, this may be a good time to rebuild consistency, but only increase difficulty if your form remains controlled."
R0025,bicep curl,follicular,prioritise_recovery,0,8,0,84,low,declining,any,main_plus_cycle,"Today looks more like a maintenance session. Rest, hydrate, and avoid pushing extra volume. Because this is the follicular phase, you may be able to progress gradually. If the movement felt comfortable, add a small challenge next time while keeping controlled lowering as the priority."
R0026,bicep curl,follicular,prioritise_recovery,0,8,0,84,high,declining,any,main_plus_cycle,"Today looks more like a maintenance session. Rest, hydrate, and avoid pushing extra volume. In the follicular phase, some users feel energy gradually returning. With {reps} reps completed, this may be a good time to rebuild consistency, but only increase difficulty if your form remains controlled."
R0027,bicep curl,follicular,improve_symmetry,0,50,0,100,medium,any,high_diff,main_plus_cycle,"Your symmetry difference suggests one side may be working harder than the other. Slow down and match both sides evenly. In the follicular phase, some users feel energy gradually returning. With {reps} reps completed, this may be a good time to rebuild consistency, but only increase difficulty if your form remains controlled."
R0028,bicep curl,follicular,improve_symmetry,0,50,0,100,low,improving,high_diff,main_plus_cycle,"For your next {exercise}, prioritise balanced movement rather than increasing reps. Because this is the follicular phase, you may be able to progress gradually. If the movement felt comfortable, add a small challenge next time while keeping elbow control as the priority."
R0029,bicep curl,follicular,improve_range_of_motion,0,50,55,89,low,any,any,main_plus_cycle,"Range of motion should be the main focus next time. Use lighter intensity if needed to move cleanly. Because this is the follicular phase, you may be able to progress gradually. If the movement felt comfortable, add a small challenge next time while keeping avoid swinging as the priority."
R0030,bicep curl,follicular,improve_range_of_motion,0,50,55,89,low,improving,any,main_plus_cycle,Range of motion should be the main focus next time. Use lighter intensity if needed to move cleanly. Your follicular-phase session can focus on building momentum. Use today’s {reps} reps as a baseline and slowly increase volume or resistance if recovery feels good.
R0031,bicep curl,follicular,progress_gradually,7,50,80,100,medium,any,any,main_plus_cycle,"You are showing signs of progress, but keep increases small and controlled. Because this is the follicular phase, you may be able to progress gradually. If the movement felt comfortable, add a small challenge next time while keeping balanced arm movement as the priority."
R0032,bicep curl,follicular,progress_gradually,7,50,80,100,any,any,any,main_plus_cycle,"You are showing signs of progress, but keep increases small and controlled. Because this is the follicular phase, you may be able to progress gradually. If the movement felt comfortable, add a small challenge next time while keeping balanced arm movement as the priority."
R0033,bicep curl,ovulatory,reduce_intensity,0,8,0,84,any,declining,any,main_plus_cycle,"You only completed {reps} reps and your form score was {form_score}, so reduce intensity and focus on controlled, safe movement. If you feel strong in the ovulatory phase, progression can be appropriate. However, the priority is still safe technique, balanced movement, and controlled reps."
R0034,bicep curl,ovulatory,reduce_intensity,0,8,0,84,any,declining,any,main_plus_cycle,"You only completed {reps} reps and your form score was {form_score}, so reduce intensity and focus on controlled, safe movement. During the ovulatory phase, energy may feel higher. Since you completed {reps} reps, you could consider a small progression next time, but avoid sacrificing avoid swinging."
R0035,bicep curl,ovulatory,focus_control,0,50,55,89,high,declining,any,main_plus_cycle,"Your {exercise} would benefit from slower reps and better control, especially around elbow control. Your ovulatory-phase feedback suggests this could be a stronger training window. If your joints feel stable and form stays high, gradually increase challenge rather than making a large jump."
R0036,bicep curl,ovulatory,focus_control,0,50,55,89,any,declining,any,main_plus_cycle,"Your {exercise} would benefit from slower reps and better control, especially around avoid swinging. Because this phase can coincide with higher energy for some users, use the session to push carefully. Keep movement quality high and avoid rushing the {exercise}."
R0037,bicep curl,ovulatory,maintain_quality,7,50,80,100,high,improving,any,main_plus_cycle,"Your technique looked consistent. Keep using this as your baseline before adding more challenge. If you feel strong in the ovulatory phase, progression can be appropriate. However, the priority is still safe technique, balanced movement, and controlled reps."
R0038,bicep curl,ovulatory,maintain_quality,7,50,80,100,any,any,any,main_plus_cycle,"Your form score was strong, so maintain this quality and keep the same controlled rhythm next session. If you feel strong in the ovulatory phase, progression can be appropriate. However, the priority is still safe technique, balanced movement, and controlled reps."
R0039,bicep curl,ovulatory,increase_challenge,7,50,80,100,medium,declining,any,main_plus_cycle,"Your session suggests you may be ready to progress. Add difficulty gradually while keeping avoid swinging stable. If you feel strong in the ovulatory phase, progression can be appropriate. However, the priority is still safe technique, balanced movement, and controlled reps."
R0040,bicep curl,ovulatory,increase_challenge,7,50,80,100,any,stable,any,main_plus_cycle,"This was a strong performance. Consider slightly increasing reps or resistance if recovery feels good. Because this phase can coincide with higher energy for some users, use the session to push carefully. Keep movement quality high and avoid rushing the {exercise}."
R0041,bicep curl,ovulatory,prioritise_recovery,0,8,0,84,any,declining,any,main_plus_cycle,"Today looks more like a maintenance session. Rest, hydrate, and avoid pushing extra volume. During the ovulatory phase, energy may feel higher. Since you completed {reps} reps, you could consider a small progression next time, but avoid sacrificing controlled lowering."
R0042,bicep curl,ovulatory,prioritise_recovery,0,8,0,84,medium,declining,any,main_plus_cycle,"Your fatigue level suggests recovery should be the main focus after this session. If you feel strong in the ovulatory phase, progression can be appropriate. However, the priority is still safe technique, balanced movement, and controlled reps."
R0043,bicep curl,ovulatory,improve_symmetry,0,50,0,100,high,improving,high_diff,main_plus_cycle,"Your symmetry difference suggests one side may be working harder than the other. Slow down and match both sides evenly. If you feel strong in the ovulatory phase, progression can be appropriate. However, the priority is still safe technique, balanced movement, and controlled reps."
R0044,bicep curl,ovulatory,improve_symmetry,0,50,0,100,any,any,high_diff,main_plus_cycle,"Your symmetry difference suggests one side may be working harder than the other. Slow down and match both sides evenly. During the ovulatory phase, energy may feel higher. Since you completed {reps} reps, you could consider a small progression next time, but avoid sacrificing balanced arm movement."
R0045,bicep curl,ovulatory,improve_range_of_motion,0,50,55,89,medium,improving,any,main_plus_cycle,"Range of motion should be the main focus next time. Use lighter intensity if needed to move cleanly. Because this phase can coincide with higher energy for some users, use the session to push carefully. Keep movement quality high and avoid rushing the {exercise}."
R0046,bicep curl,ovulatory,improve_range_of_motion,0,50,55,89,any,any,any,main_plus_cycle,"Your joint angle range suggests the movement may be slightly restricted. Focus on a comfortable full range of motion. During the ovulatory phase, energy may feel higher. Since you completed {reps} reps, you could consider a small progression next time, but avoid sacrificing elbow control."
R0047,bicep curl,ovulatory,progress_gradually,7,50,80,100,medium,declining,any,main_plus_cycle,"This is a good base to progress from, as long as your form and recovery stay consistent. If you feel strong in the ovulatory phase, progression can be appropriate. However, the priority is still safe technique, balanced movement, and controlled reps."
R0048,bicep curl,ovulatory,progress_gradually,7,50,80,100,low,improving,any,main_plus_cycle,"You are showing signs of progress, but keep increases small and controlled. During the ovulatory phase, energy may feel higher. Since you completed {reps} reps, you could consider a small progression next time, but avoid sacrificing balanced arm movement."
R0049,bicep curl,luteal,reduce_intensity,0,8,0,84,high,declining,any,main_plus_cycle,"Your performance data points towards lowering the challenge for now. Aim for cleaner reps before increasing weight or volume. Your luteal-phase feedback should be supportive rather than pushy. Keep the {exercise} manageable, rest longer if needed, and focus on maintaining form quality."
R0050,bicep curl,luteal,reduce_intensity,0,8,0,84,high,declining,any,main_plus_cycle,"You only completed {reps} reps and your form score was {form_score}, so reduce intensity and focus on controlled, safe movement. Your luteal-phase feedback should be supportive rather than pushy. Keep the {exercise} manageable, rest longer if needed, and focus on maintaining form quality."
R0051,bicep curl,luteal,focus_control,0,50,55,89,low,declining,any,main_plus_cycle,"Focus on technique over speed next time. Keep each rep smooth and avoid rushing the movement. In the luteal phase, fatigue, mood, and recovery needs may increase for some users. If {reps} reps felt difficult, reduce intensity slightly, increase rest, and focus on steady technique."
R0052,bicep curl,luteal,focus_control,0,50,55,89,any,any,any,main_plus_cycle,"Your {exercise} would benefit from slower reps and better control, especially around elbow control. Your luteal-phase feedback should be supportive rather than pushy. Keep the {exercise} manageable, rest longer if needed, and focus on maintaining form quality."
R0053,bicep curl,luteal,maintain_quality,7,50,80,100,medium,any,any,main_plus_cycle,"Good session. The priority now is keeping the same standard across more reps without losing control. In the luteal phase, fatigue, mood, and recovery needs may increase for some users. If {reps} reps felt difficult, reduce intensity slightly, increase rest, and focus on steady technique."
R0054,bicep curl,luteal,maintain_quality,7,50,80,100,low,declining,any,main_plus_cycle,"Your technique looked consistent. Keep using this as your baseline before adding more challenge. If bloating, tiredness, or low motivation affected today’s workout, adjust the session rather than forcing intensity. A lighter session with good control is still useful progress."
