user_level,exercise,cycle_phase,form_score,reps,left_angle,right_angle,symmetry_diff,fatigue_level,performance_trend,coaching_label
advanced,squat,menstrual,55,10,109.8,101.8,8.0,high,stable,reduce_intensity
advanced,squat,skip,41,5,115.3,115.4,0.1,medium,improving,reduce_intensity
beginner,lunge,skip,68,11,156.7,146.8,9.9,medium,improving,focus_control
beginner,shoulder_press,ovulatory,53,13,107.2,104.8,2.4,medium,improving,reduce_intensity
intermediate,bicep_curl,skip,86,17,137.5,147.0,9.5,medium,improving,progress_gradually
intermediate,squat,skip,79,14,140.4,144.5,4.1,medium,declining,progress_gradually
beginner,lunge,ovulatory,95,6,126.6,125.7,0.9,low,improving,increase_challenge
intermediate,lunge,ovulatory,82,11,149.1,152.8,3.7,medium,improving,progress_gradually
beginner,lunge,skip,50,17,126.6,136.4,9.8,high,improving,reduce_intensity
advanced,lunge,ovulatory,92,4,156.4,154.4,2.0,low,improving,increase_challenge
beginner,lunge,skip,53,18,127.7,136.0,8.3,high,stable,reduce_intensity
intermediate,lunge,ovulatory,87,20,137.7,142.6,4.9,low,improving,progress_gradually
intermediate,shoulder_press,ovulatory,72,18,106.4,97.3,9.1,low,improving,focus_control
beginner,lunge,follicular,78,5,126.9,128.8,1.9,high,stable,maintain_quality
intermediate,bicep_curl,skip,86,6,147.7,148.4,0.7,low,declining,progress_gradually
intermediate,bicep_curl,menstrual,50,17,100.2,104.6,4.4,medium,stable,reduce_intensity
advanced,bicep_curl,skip,98,6,160.9,156.9,4.0,low,declining,progress_gradually
advanced,lunge,follicular,74,19,164.3,166.3,2.0,medium,improving,maintain_quality
intermediate,squat,menstrual,55,4,116.9,118.2,1.3,medium,stable,reduce_intensity
beginner,squat,luteal,89,7,109.0,108.5,0.5,low,declining,progress_gradually
advanced,lunge,ovulatory,67,9,165.0,170.1,5.1,high,declining,focus_control
advanced,lunge,ovulatory,81,14,130.7,131.1,0.4,medium,declining,progress_gradually
beginner,lunge,follicular,41,20,116.1,110.5,5.6,low,stable,reduce_intensity
beginner,squat,follicular,95,13,105.0,99.8,5.2,low,improving,increase_challenge
advanced,shoulder_press,follicular,86,18,117.0,116.5,0.5,high,improving,maintain_quality
intermediate,lunge,menstrual,67,14,129.7,129.0,0.7,low,declining,focus_control
advanced,squat,menstrual,86,13,156.0,148.2,7.8,low,stable,progress_gradually
beginner,lunge,skip,67,8,119.5,114.5,5.0,medium,improving,focus_control
beginner,shoulder_press,skip,81,20,158.5,167.9,9.4,low,improving,progress_gradually
beginner,lunge,luteal,53,15,163.2,156.5,6.7,medium,stable,reduce_intensity
beginner,shoulder_press,ovulatory,67,20,146.3,146.0,0.3,medium,stable,focus_control
beginner,bicep_curl,follicular,87,20,104.3,100.6,3.7,low,declining,progress_gradually
beginner,shoulder_press,skip,43,19,105.6,99.3,6.3,high,improving,reduce_intensity
advanced,squat,follicular,100,10,140.5,131.3,9.2,medium,improving,progress_gradually
beginner,shoulder_press,skip,60,11,114.3,118.6,4.3,high,declining,focus_control
beginner,bicep_curl,luteal,81,12,132.0,140.6,8.6,low,declining,progress_gradually
beginner,squat,luteal,46,5,137.6,137.7,0.1,high,declining,prioritise_recovery
beginner,bicep_curl,menstrual,58,8,130.7,131.6,0.9,low,stable,focus_control
intermediate,squat,skip,46,7,118.5,126.3,7.8,medium,declining,reduce_intensity
advanced,lunge,ovulatory,53,13,114.3,117.0,2.7,medium,declining,reduce_intensity
intermediate,shoulder_press,ovulatory,80,16,158.1,149.0,9.1,low,improving,progress_gradually
intermediate,lunge,ovulatory,68,20,149.4,150.6,1.2,low,declining,focus_control
beginner,squat,follicular,93,14,140.8,133.8,7.0,high,improving,maintain_quality
beginner,squat,ovulatory,97,14,114.7,109.7,5.0,medium,improving,progress_gradually
beginner,bicep_curl,skip,87,7,164.8,159.5,5.3,medium,declining,progress_gradually
beginner,lunge,luteal,87,13,154.8,153.0,1.8,low,improving,progress_gradually
advanced,lunge,ovulatory,46,15,161.1,168.3,7.2,low,declining,reduce_intensity
beginner,lunge,luteal,92,10,115.6,118.8,3.2,medium,stable,progress_gradually
intermediate,bicep_curl,ovulatory,62,19,128.0,137.6,9.6,low,stable,focus_control
advanced,bicep_curl,menstrual,51,11,102.7,104.6,1.9,low,stable,reduce_intensity
intermediate,bicep_curl,luteal,47,15,163.0,156.8,6.2,high,declining,prioritise_recovery
beginner,shoulder_press,menstrual,83,9,125.5,116.9,8.6,high,declining,prioritise_recovery
advanced,bicep_curl,skip,94,6,150.4,146.4,4.0,medium,declining,progress_gradually
intermediate,shoulder_press,ovulatory,58,20,108.9,107.3,1.6,medium,declining,focus_control
intermediate,lunge,skip,65,20,158.4,154.5,3.9,high,stable,focus_control
beginner,shoulder_press,skip,60,17,130.9,134.4,3.5,high,declining,focus_control
advanced,shoulder_press,follicular,58,19,146.5,148.9,2.4,high,improving,focus_control
beginner,lunge,ovulatory,49,3,103.2,112.9,9.7,low,improving,reduce_intensity
advanced,squat,luteal,76,9,150.3,148.0,2.3,medium,declining,maintain_quality
intermediate,lunge,follicular,40,6,154.5,148.9,5.6,high,declining,reduce_intensity
advanced,shoulder_press,menstrual,98,6,132.0,138.0,6.0,high,improving,maintain_quality
advanced,bicep_curl,luteal,97,19,129.9,138.0,8.1,high,declining,prioritise_recovery
intermediate,lunge,luteal,88,10,158.8,154.3,4.5,medium,stable,progress_gradually
advanced,shoulder_press,follicular,44,12,116.4,113.1,3.3,medium,stable,reduce_intensity
advanced,squat,follicular,64,7,149.4,140.7,8.7,low,improving,focus_control
intermediate,bicep_curl,skip,43,9,158.3,156.1,2.2,medium,stable,reduce_intensity
advanced,squat,skip,40,14,120.9,118.7,2.2,medium,stable,reduce_intensity
intermediate,lunge,luteal,67,18,102.0,98.7,3.3,low,stable,focus_control
advanced,shoulder_press,follicular,79,20,101.9,99.8,2.1,medium,improving,progress_gradually
advanced,squat,menstrual,48,17,112.7,107.9,4.8,high,stable,reduce_intensity
intermediate,lunge,luteal,88,15,119.5,128.5,9.0,medium,stable,progress_gradually
intermediate,bicep_curl,menstrual,87,20,103.6,112.6,9.0,medium,improving,progress_gradually
beginner,squat,menstrual,52,3,143.5,138.3,5.2,low,improving,reduce_intensity
intermediate,squat,skip,84,11,153.7,147.1,6.6,low,stable,progress_gradually
advanced,squat,follicular,77,3,165.0,166.5,1.5,medium,improving,maintain_quality
intermediate,shoulder_press,follicular,84,10,107.1,112.5,5.4,low,declining,progress_gradually
advanced,squat,skip,74,16,146.3,137.7,8.6,low,stable,improve_range_of_motion
advanced,bicep_curl,menstrual,46,16,167.3,170.0,2.7,medium,stable,reduce_intensity
intermediate,lunge,luteal,73,11,143.1,151.5,8.4,low,declining,improve_range_of_motion
intermediate,shoulder_press,luteal,57,13,159.6,166.2,6.6,high,declining,prioritise_recovery
beginner,bicep_curl,luteal,76,15,123.5,123.4,0.1,low,stable,maintain_quality
intermediate,lunge,luteal,91,11,123.8,131.4,7.6,low,stable,progress_gradually
advanced,bicep_curl,skip,100,9,106.0,110.4,4.4,low,declining,progress_gradually
intermediate,lunge,luteal,71,17,155.5,147.4,8.1,high,declining,prioritise_recovery
beginner,shoulder_press,follicular,77,14,133.1,133.7,0.6,medium,declining,maintain_quality
intermediate,bicep_curl,ovulatory,57,12,117.6,110.0,7.6,high,stable,reduce_intensity
beginner,bicep_curl,menstrual,100,8,113.4,118.2,4.8,high,declining,prioritise_recovery
intermediate,bicep_curl,menstrual,54,14,112.6,102.9,9.7,low,stable,reduce_intensity
advanced,lunge,ovulatory,75,12,148.8,141.3,7.5,low,improving,maintain_quality
intermediate,squat,menstrual,70,18,130.8,124.5,6.3,high,stable,focus_control
beginner,bicep_curl,luteal,65,18,105.2,107.8,2.6,low,improving,focus_control
beginner,lunge,follicular,45,10,108.3,113.6,5.3,high,stable,reduce_intensity
advanced,lunge,skip,98,17,120.8,122.6,1.8,medium,stable,progress_gradually
intermediate,bicep_curl,skip,79,6,166.3,160.5,5.8,high,improving,maintain_quality
beginner,bicep_curl,menstrual,51,20,105.3,95.4,9.9,low,improving,reduce_intensity
intermediate,shoulder_press,ovulatory,58,12,149.2,148.3,0.9,low,improving,focus_control
advanced,lunge,ovulatory,82,9,129.8,130.7,0.9,high,declining,maintain_quality
advanced,lunge,ovulatory,43,8,155.5,157.4,1.9,low,improving,reduce_intensity
advanced,bicep_curl,luteal,84,12,149.0,157.9,8.9,low,stable,progress_gradually
advanced,shoulder_press,luteal,42,16,151.4,153.5,2.1,low,declining,reduce_intensity
beginner,squat,follicular,77,3,170.0,173.4,3.4,high,declining,maintain_quality
intermediate,squat,follicular,81,17,164.1,157.7,6.4,medium,declining,progress_gradually
advanced,shoulder_press,luteal,62,16,123.3,126.7,3.4,low,stable,focus_control
beginner,bicep_curl,luteal,58,15,156.9,157.9,1.0,high,stable,focus_control
intermediate,squat,ovulatory,47,15,160.5,167.0,6.5,medium,stable,reduce_intensity
beginner,shoulder_press,luteal,73,14,143.6,143.6,0.0,low,improving,maintain_quality
intermediate,squat,follicular,48,12,130.7,134.7,4.0,medium,declining,reduce_intensity
beginner,squat,skip,50,12,138.6,139.6,1.0,low,declining,reduce_intensity
beginner,lunge,menstrual,81,7,134.9,139.2,4.3,medium,improving,progress_gradually
advanced,bicep_curl,luteal,55,17,138.6,136.3,2.3,medium,stable,reduce_intensity
advanced,lunge,menstrual,61,19,118.7,108.8,9.9,medium,stable,focus_control
advanced,bicep_curl,skip,71,7,131.3,131.0,0.3,high,declining,focus_control
intermediate,shoulder_press,luteal,84,10,140.0,134.7,5.3,medium,improving,progress_gradually
intermediate,squat,ovulatory,85,15,127.0,130.3,3.3,high,stable,maintain_quality
advanced,lunge,luteal,72,13,160.9,168.4,7.5,low,improving,focus_control
intermediate,squat,skip,86,7,128.7,131.8,3.1,medium,improving,progress_gradually
beginner,squat,luteal,79,15,145.5,152.5,7.0,medium,stable,progress_gradually
advanced,shoulder_press,ovulatory,96,18,161.1,151.8,9.3,high,declining,improve_range_of_motion
beginner,lunge,ovulatory,45,16,168.5,173.7,5.2,low,declining,reduce_intensity
advanced,squat,luteal,59,3,103.2,109.1,5.9,low,declining,focus_control
intermediate,bicep_curl,ovulatory,55,19,128.8,132.4,3.6,medium,improving,reduce_intensity
beginner,lunge,follicular,95,15,143.4,138.2,5.2,low,declining,progress_gradually
advanced,lunge,follicular,56,17,117.9,108.1,9.8,medium,declining,reduce_intensity
intermediate,bicep_curl,skip,68,14,169.1,165.1,4.0,low,improving,focus_control
intermediate,bicep_curl,luteal,64,18,107.5,105.1,2.4,medium,improving,focus_control
intermediate,bicep_curl,ovulatory,65,11,100.6,107.9,7.3,low,declining,focus_control
advanced,squat,skip,93,12,154.3,148.9,5.4,high,stable,maintain_quality
intermediate,lunge,follicular,83,7,144.0,152.1,8.1,high,stable,improve_range_of_motion
advanced,squat,ovulatory,77,14,151.3,143.1,8.2,medium,improving,improve_range_of_motion
intermediate,bicep_curl,luteal,48,20,161.4,158.7,2.7,low,improving,reduce_intensity
advanced,bicep_curl,follicular,91,12,152.3,149.1,3.2,medium,stable,progress_gradually
beginner,shoulder_press,menstrual,95,15,167.7,173.8,6.1,low,improving,increase_challenge
intermediate,squat,luteal,74,6,131.8,135.3,3.5,low,stable,maintain_quality
advanced,bicep_curl,skip,100,14,107.6,102.3,5.3,medium,declining,progress_gradually
beginner,bicep_curl,skip,44,17,163.7,159.7,4.0,low,declining,reduce_intensity
intermediate,squat,follicular,59,18,108.1,102.8,5.3,low,improving,focus_control
advanced,lunge,luteal,82,20,129.3,134.1,4.8,medium,stable,progress_gradually
beginner,shoulder_press,menstrual,66,11,102.3,99.7,2.6,medium,declining,focus_control
intermediate,shoulder_press,follicular,83,14,138.1,147.7,9.6,medium,improving,progress_gradually
intermediate,squat,luteal,47,17,106.4,100.6,5.8,medium,improving,reduce_intensity
advanced,squat,menstrual,48,9,104.8,110.1,5.3,medium,improving,reduce_intensity
beginner,lunge,follicular,90,3,119.4,129.1,9.7,medium,improving,progress_gradually
beginner,bicep_curl,follicular,95,3,109.2,106.4,2.8,low,declining,progress_gradually
beginner,bicep_curl,menstrual,43,7,151.9,152.4,0.5,low,stable,reduce_intensity
